lv2 1.18.10-2
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.21-2
mailcap 2.1.54-3
make 4.4.1-3
man-db 2.13.1-2
man-pages 6.18-1
matugen 4.2.0-1
md4c 0.5.3-1
mdadm 4.6-2
media-player-info 26-1
mesa 1:26.2.1-1
minisign 0.12-2
minizip 1:1.3.2-3
mkinitcpio 41.1-1
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
modemmanager 1.24.2-1
modemmanager-qt 6.29.0-1
mpd 0.24.14-1
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.7-1
msgpack-c 7.0.1-1
mtdev 1.1.7-1
nasm 3.02-1
nautilus 50.2.2-1
ncmpcpp 0.10.1-9
ncurses 6.6-2
neon 0.37.1-1
neovim 0.12.5-1
nettle 4.0-1
nettle3 3.10.2-2
networkmanager 1.58.1-1
nftables 1:1.1.6-3
niri 26.04-1
nix 2.35.2-2
nix-busybox 1.37.0-1
nlohmann-json 3.12.0-2
node-gyp 13.0.1-1
nodejs 26.7.0-1
nodejs-nopt 10.0.1-1
npm 12.0.2-1
npth 1.8-1
nspr 4.40-1
nss 3.127-1
nvidia-open-dkms 610.57.04-1
nvidia-settings 610.57.04-1
nvidia-utils 610.57.04-1
ocl-icd 2.3.5-1
onetbb 2023.1.0-1
oniguruma 6.9.10-1
onnxruntime-cpu 1.28.0-1
openai-codex-bin 0.149.0-1
openai-codex-bin-debug 0.149.0-1
openal 1.25.2-2
opencode 1.18.21-1
opencore-amr 0.1.6-2
openjpeg2 2.5.4-1
openssh 10.5p1-1
openssl 3.6.3-1
opus 1.6.1-1
orc 0.4.42-1
osinfo-db 20260812-1
p11-kit 0.26.5-1
pacman 7.1.0.r9.g54d9411-2
pacman-mirrorlist 20260610-1
pahole 1:1.31-2
pam 1.7.2-2
pambase 20260616-1
pango 1:1.58.2-1
pangomm 2.46.5-1
pangomm-2.48 2.56.2-1
parted 3.7-1
patch 2.8-1
patchelf 0.19.1-1
pavucontrol 1:6.2-1
pciutils 3.15.0-1
pcre 8.45-5
pcre2 10.47-1
pcsclite 2.5.1-1
perl 5.42.2-2
perl-error 0.17030-3
